runNum,gen,nevals,F.avg,F.max,F.min,F.nevals,F.std,S.avg,S.max,S.min,S.nevals,S.std
2,125,512,0.06926,4.34,0.02,512,0.284146,162.391,340,17,512,54.2255
2,126,534,0.07612,5.78,0.02,534,0.318744,164.52,342,25,534,54.0612
2,127,555,0.08334,5.78,0.02,555,0.344133,165.948,342,12,555,54.8074
2,128,556,0.07505,8.21,0.02,556,0.375182,166.675,342,21,556,52.9302
2,129,569,0.07323,5.78,0.02,569,0.31194,165.331,345,22,569,53.6079
2,130,514,0.08331,9.32,0.02,514,0.425627,165.156,345,4,514,53.8104
2,131,536,0.07126,4.18,0.02,536,0.291781,165.836,356,21,536,52.6302
2,132,562,0.08862,5.78,0.02,562,0.402023,164.25,394,12,562,57.257
2,133,536,0.09469,5.78,0.02,536,0.422017,163.251,394,19,536,57.6315
2,134,534,0.07584,3.26,0.02,534,0.269955,165.911,394,16,534,56.3328
